요구사항ID,사용자스토리,업무영역,유형,스프린트 배정
R001,사용자가 Google 소셜 로그인으로 회원가입 및 로그인할 수 있다 (https://www.notion.so/Google-3223b5d3bb7281268373f6eaefbbb388?pvs=21),"백엔드, 프론트엔드",기능,1차
R002,사용자가 현재 위치 기반으로 텍스트 메모를 작성하고 지도에 핀으로 저장할 수 있다 (https://www.notion.so/3223b5d3bb72811eb0b9e29cf6e438f7?pvs=21),"백엔드, 프론트엔드",기능,1차
R004,사용자가 현재 위치 기반으로 텍스트 메모를 작성하고 지도에 핀으로 저장할 수 있다 (https://www.notion.so/3223b5d3bb72811eb0b9e29cf6e438f7?pvs=21),"백엔드, 프론트엔드",기능,1차
R005,사용자가 Google 소셜 로그인으로 회원가입 및 로그인할 수 있다 (https://www.notion.so/Google-3223b5d3bb7281268373f6eaefbbb388?pvs=21),"백엔드, 프론트엔드",기능,1차
R006,사용자가 현재 위치 기반으로 텍스트 메모를 작성하고 지도에 핀으로 저장할 수 있다 (https://www.notion.so/3223b5d3bb72811eb0b9e29cf6e438f7?pvs=21),"백엔드, 프론트엔드",기능,1차
R007,사용자는 지도에서 공개 메모를 확인할 수 있다 (https://www.notion.so/3223b5d3bb7281ceafe0d9e27c42dcb6?pvs=21),"백엔드, 프론트엔드",기능,
R008,사용자가 공개 메모 작성 시 유효 기간(1일/1주/1개월/3개월/직접 입력)을 설정할 수 있다 (https://www.notion.so/1-1-1-3-3223b5d3bb7281e985c4fd4b8b7b548b?pvs=21),"백엔드, 프론트엔드",기능,
R009,사용자가 만료된 메모를 삭제하거나 재공개할 수 있다 (https://www.notion.so/3223b5d3bb72811b8389e1057a9752f1?pvs=21),"백엔드, 프론트엔드",기능,
R010,사용자가 장소명 또는 주소 검색으로 메모 위치를 지정할 수 있다 (https://www.notion.so/3223b5d3bb72812db959fedc11a665ec?pvs=21),"백엔드, 프론트엔드",기능,1차
R011,사용자가 내 메모를 개인 / 공개 / 만료됨 탭으로 분류하여 관리할 수 있다 (https://www.notion.so/3223b5d3bb7281879af3c763b399ef15?pvs=21),"백엔드, 프론트엔드",기능,
R012,사용자가 개인 메모 반경에 진입할 때 자동 알림을 받을 수 있다 (https://www.notion.so/3223b5d3bb72816daa7cd231e735199e?pvs=21),"백엔드, 프론트엔드",기능,
R013,사용자가 메모 작성 시 개인 또는 공개 유형을 선택할 수 있다 (https://www.notion.so/3223b5d3bb728155853ddd3d60160a8e?pvs=21),"백엔드, 프론트엔드",기능,1차
R014,사용자가 본인이 작성한 메모를 삭제할 수 있다 (삭제 확인 다이얼로그 포함) (https://www.notion.so/3223b5d3bb728123b6d4def5d248baa8?pvs=21),"백엔드, 프론트엔드",기능,1차
R015,사용자가 공개 메모를 거리 가까운 순으로 정렬된 리스트로 확인할 수 있다 (https://www.notion.so/3223b5d3bb728163bb48ef528774d89d?pvs=21),"백엔드, 프론트엔드",기능,
R016,사용자가 만료된 공개 메모를 '만료된 메모' 탭에서 확인할 수 있다 (https://www.notion.so/3223b5d3bb7281dca512e13269f0b8d3?pvs=21),"백엔드, 프론트엔드",기능,
R017,사용자가 알림을 탭하면 해당 메모 상세 페이지로 이동할 수 있다 (https://www.notion.so/3223b5d3bb7281fe8647eb95a31f640f?pvs=21),프론트엔드,기능,
R018,사용자가 계정 탈퇴 시 본인이 작성한 모든 메모(공개 포함)가 삭제된다 (https://www.notion.so/3223b5d3bb7281b5b364ecd6954b19c9?pvs=21),"백엔드, 프론트엔드",기능,
R019,"사용자가 공개 메모 상세(제목, 전문, 작성일, 만료일)를 확인하고 북마크할 수 있다 (https://www.notion.so/3223b5d3bb72819c9e01eb6dc3ec42bf?pvs=21)","백엔드, 프론트엔드",기능,
R020,사용자가 내 메모를 최근 작성순 / 만료 임박순 / 거리 가까운 순으로 정렬할 수 있다 (https://www.notion.so/3223b5d3bb72815593b1e7b4e7417293?pvs=21),"백엔드, 프론트엔드",기능,
R021,사용자가 GPS 기반 현재 위치를 메모 위치로 자동 설정할 수 있다 (https://www.notion.so/GPS-3223b5d3bb72816ab49ecfd0432ac16d?pvs=21),프론트엔드,기능,1차
R022,사용자가 동일 메모에 대해 반경 이탈 후 재진입 시에만 재알림을 받는다 (https://www.notion.so/3223b5d3bb72811e915df2d036200b1b?pvs=21),프론트엔드,기능,
R023,사용자가 공개 메모 알림을 ON/OFF로 설정할 수 있다 (기본값: OFF) (https://www.notion.so/ON-OFF-OFF-3223b5d3bb72815a9f03dad1a1b4a473?pvs=21),"백엔드, 프론트엔드",기능,
R024,사용자가 메모 제목 미입력 시 본문 앞 10자가 제목으로 자동 설정된다 (https://www.notion.so/10-3223b5d3bb7281c2b4c2db1a3a72a546?pvs=21),백엔드,기능,
R025,사용자가 북마크한 타인의 공개 메모를 별도 탭에서 관리하며 만료 시 자동 제거된다 (https://www.notion.so/3223b5d3bb7281adb8e7e7375a04d72f?pvs=21),"백엔드, 프론트엔드",기능,
R026,사용자가 현재 위치 500m 이내 공개 메모를 지도 뷰에서 핀으로 확인하고 미리볼 수 있다 (https://www.notion.so/500m-3223b5d3bb7281f7892cf0362319c0e3?pvs=21),"백엔드, 프론트엔드",기능,
R027,사용자가 트리거 반경을 50m / 100m / 200m / 500m 중 선택하여 설정할 수 있다 (https://www.notion.so/50m-100m-200m-500m-3223b5d3bb7281ddadd3c8842ba7dc1b?pvs=21),"백엔드, 프론트엔드",기능,